repo,language,stars,path,ci_status,build_tool,is_buildable,primary_ci,first_buildable_sha,first_buildable_date
audreyfeldroy/cookiecutter-pypackage,Python,4510,https://github.com/audreyfeldroy/cookiecutter-pypackage,SUCCESS,Pip/Poetry,True,GitHub Actions,e5c82a5c9e367541403836ab1f47d9230ad90fc3,2025-07-18T12:50:23Z
autorope/donkeycar,Python,3366,https://github.com/autorope/donkeycar,FAILURE,Pip/Poetry,True,GitHub Actions,5483490aa3ef0fc8521447dd49a4de9f890830ec,2024-09-15T20:34:59Z
aws/aws-cli,Python,16724,https://github.com/aws/aws-cli,SUCCESS,Pip/Poetry,True,GitHub Actions,42b25f06977e12918881baa1af41c9b936a9796d,2024-12-26T19:14:12Z
aws/chalice,Python,11064,https://github.com/aws/chalice,SUCCESS,Setup.py,True,GitHub Actions,3b26333053a51c6decd402b6d62e2532d0b2560b,2025-01-31T21:10:10Z
autogluon/autogluon,Python,9877,https://github.com/autogluon/autogluon,FAILURE,Pip/Poetry,True,GitHub Actions,c1181326cf6b7e3b27a7420273f1a82808d939e2,2025-01-07T01:45:58Z
aws-cloudformation/aws-cloudformation-templates,Python,5109,https://github.com/aws-cloudformation/aws-cloudformation-templates,SUCCESS,Unknown,False,GitHub Actions,ff279b641bbfc0809134b332947bf2b0b16e110c,2025-08-18T16:08:56Z
aws/aws-sam-cli,Python,6691,https://github.com/aws/aws-sam-cli,FAILURE,Pip/Poetry,True,GitHub Actions,9805294fa6698ad78d829dcc4a9dbc4036436387,2025-01-06T18:14:50Z
aws/serverless-application-model,Python,9550,https://github.com/aws/serverless-application-model,SUCCESS,Pip/Poetry,True,GitHub Actions,a8c0a70ec5445c2eec8270be69657308f6db43a2,2025-01-09T23:54:53Z
Azure/azure-cli,Python,4429,https://github.com/Azure/azure-cli,FAILURE,Pip/Poetry,True,GitHub Actions,fb83fc8497f9647bee074d7fd76ae4a7fb7fdaf0,2024-12-31T06:47:01Z
home-assistant-libs/pychromecast,Python,2654,https://github.com/home-assistant-libs/pychromecast,SUCCESS,Pip/Poetry,True,GitHub Actions,fc71ee0afa65c2d77cd65f018b27276312f47719,2024-12-30T10:30:59Z
beetbox/beets,Python,14703,https://github.com/beetbox/beets,SUCCESS,Pip/Poetry,True,GitHub Actions,2277e2a0d95d9a01c7ba823f1226c4f04395fcc0,2024-12-26T18:45:21Z
beeware/toga,Python,5298,https://github.com/beeware/toga,SUCCESS,Pip/Poetry,True,GitHub Actions,5149c6f6c8c646633eeb878f2758eb9d2cb9414f,2025-12-22T04:47:40Z
behave/behave,Python,3434,https://github.com/behave/behave,SUCCESS,Pip/Poetry,True,GitHub Actions,69cda59cbd59dc8b9e00fc21ce5a840dd937eb2f,2025-04-25T19:04:48Z
benjaminp/six,Python,1018,https://github.com/benjaminp/six,SUCCESS,Setup.py,True,GitHub Actions,d8351607332245eeaa16e72e143cdb7a349a2a05,2025-09-14T15:48:01Z
