repo,language,stars,url,ci_status,build_tool,is_buildable,primary_ci,first_buildable_sha,first_buildable_date
kitao/pyxel,Rust,17070,https://github.com/kitao/pyxel,SUCCESS,Unknown,False,GitHub Actions,dd0099b069c3ffaff03b421f78549a89fe9bb935,2026-02-17T12:05:03Z
fschutt/azul,Rust,6088,https://github.com/fschutt/azul,FAILURE,Cargo,True,GitHub Actions,79fd75987a3586805f9ce3a1fd56711d88af6fcc,2026-01-05T16:46:43Z
mimblewimble/grin,Rust,5090,https://github.com/mimblewimble/grin,SUCCESS,Cargo,True,GitHub Actions,8e798561686124b63023017564d0eb84fc76c868,2025-03-08T11:54:13Z
analysis-tools-dev/static-analysis,Rust,14373,https://github.com/analysis-tools-dev/static-analysis,NO_CI,Unknown,False,GitHub Actions,6f3f3236a196d091ecc599861337574907d85cc6,2024-12-30T11:59:16Z
mre/idiomatic-rust,Rust,7571,https://github.com/mre/idiomatic-rust,SUCCESS,Unknown,False,GitHub Actions,c88cb8441fc2c679391548cd185639a3851bd912,2025-04-11T11:39:41Z
neon-bindings/neon,Rust,8396,https://github.com/neon-bindings/neon,SUCCESS,Cargo,True,GitHub Actions,c0f044232793c294b21b7ced84266c035646e4fe,2025-01-13T13:42:34Z
nikivdev/flow,Rust,21165,https://github.com/nikivdev/flow,SUCCESS,Cargo,True,GitHub Actions,9ca7301e16d073bf0bd5129729db010b00a5ed97,2026-02-07T15:43:22Z
nushell/nushell,Rust,38256,https://github.com/nushell/nushell,SUCCESS,Cargo,True,GitHub Actions,4b1f4e63c3fb403363e149ab9a1fd6aaa327e7ba,2024-12-25T08:50:02Z
o2sh/onefetch,Rust,11473,https://github.com/o2sh/onefetch,SUCCESS,Cargo,True,GitHub Actions,3a8ad24e0809ca5815508c30c24701b163d475f9,2024-12-28T13:49:36Z
lsd-rs/lsd,Rust,15422,https://github.com/lsd-rs/lsd,FAILURE,Cargo,True,GitHub Actions,d5a4e1cb80626d5ec94b237f6b77f7280d0f2fc9,2025-10-12T08:29:13Z
pest-parser/pest,Rust,5277,https://github.com/pest-parser/pest,SUCCESS,Cargo,True,GitHub Actions,13275f5b31372b13bfab41cb90cc24cfefbb65aa,2025-01-03T03:16:44Z
